row_id,Label,feature_sha256,reason
9777,PortScan,bf9a70a706cc98b5d23d546e1adc0f80027985dba07e137f248c9d01980a9d6f,conflicting_labels
13833,PortScan,ca896cbadcd8f85582b36b51f47231ddd9a34d1536a12f6a274490c43322ea5a,conflicting_labels
45362,PortScan,13b554060ec4f656c9dd17cd9889ee48876d86749f180e0e84a4475b09ae1b6b,conflicting_labels
58863,BENIGN,2c969a9cbf061708c17410b4d47a254d3ab5ad9e38d243bc68ff401eb64d55dd,conflicting_labels
66664,BENIGN,e6b2e06fd91e2f5dfce699d74ca785e9da15dfe804410c891662690afb48cfde,conflicting_labels
67826,BENIGN,bf9a70a706cc98b5d23d546e1adc0f80027985dba07e137f248c9d01980a9d6f,conflicting_labels
122361,PortScan,bf48f2b9fa2f749f4dc0faa44325a88aefbfdefdc56380b899a5628a78e03453,conflicting_labels
136177,BENIGN,3c33b28898a2b42a8c5fd43c00f01ee169f1270599e124cd814540f13ee76c6e,conflicting_labels
139431,PortScan,8177897384f449971cab4bb3f633a37475f3105f819efb1cb1d0831eefd616d8,conflicting_labels
141560,PortScan,3c33b28898a2b42a8c5fd43c00f01ee169f1270599e124cd814540f13ee76c6e,conflicting_labels
157441,BENIGN,8177897384f449971cab4bb3f633a37475f3105f819efb1cb1d0831eefd616d8,conflicting_labels
163919,PortScan,2c969a9cbf061708c17410b4d47a254d3ab5ad9e38d243bc68ff401eb64d55dd,conflicting_labels
169985,PortScan,5437e31c5ba4dde551eb767e3fc50315bf0eaa2ecbdb409ce78c7ad6a8beb7ba,conflicting_labels
179381,PortScan,8730de367dba37999913a1c824fc911fb5ed3e7619e8554ae97b105a9049aa17,conflicting_labels
182525,BENIGN,ca896cbadcd8f85582b36b51f47231ddd9a34d1536a12f6a274490c43322ea5a,conflicting_labels
190672,BENIGN,8730de367dba37999913a1c824fc911fb5ed3e7619e8554ae97b105a9049aa17,conflicting_labels
191099,BENIGN,13b554060ec4f656c9dd17cd9889ee48876d86749f180e0e84a4475b09ae1b6b,conflicting_labels
191528,BENIGN,5437e31c5ba4dde551eb767e3fc50315bf0eaa2ecbdb409ce78c7ad6a8beb7ba,conflicting_labels
194721,PortScan,e6b2e06fd91e2f5dfce699d74ca785e9da15dfe804410c891662690afb48cfde,conflicting_labels
204142,BENIGN,bf48f2b9fa2f749f4dc0faa44325a88aefbfdefdc56380b899a5628a78e03453,conflicting_labels
