row_id,feature_sha256,Label
105945,43e61600347a61359222940f48f87806632dab0cc93b8b25b15bd42647c89256,BENIGN
70794,16e155c95ca62472bc22041f1b1b33a8faba2c4ada1a90afbf8146899c08b6ac,BENIGN
88343,3feacb3e58b6d12d814b840214b9e3ec73538197a98ea35b191a7e14b6d229a0,BENIGN
74765,6ad530f3664103fcfc1d357211b7540cb686282734c2c99c9766eaa4ca4d5966,BENIGN
164084,92374b3b3c4472dcead3fc42c394e922c433056fb6624d5da2f258af65873578,BENIGN
148380,49bd8b100b959faf48e5b6bc3149c26d78e6054fd16815c81713bfcd302e5b84,BENIGN
156252,2671f31e7e6d87291938704f9cf41d11d43fbd77835cfa63c12fbe2e40ad3e32,BENIGN
163476,e343233bc1f37207d01916bee594f94ad944a1b40ad2772b18e4b401dab0891e,BENIGN
93978,2739e62ad20c9b56a68d60983d97b36797926d4ff6626ca258d6c808d0ab0d2e,BENIGN
116191,a3a7cea84c3f23668274b7d35208e162afcc807922f56026e8a8eebac43969b0,BENIGN
161905,9c896f6bad44aafe62a7368b98d22f4c055b8ca48b803c278d2e228762a8c9a0,DDoS
24346,3bedf1ed7874c4fb968be473418816c5ad26f19f5e342e2f99f193164a1bb07f,BENIGN
191241,04bfebe4e09e82c044348459b11c4ae0164a2c14236fa16dedf81d6b316e55f5,BENIGN
169534,a3bd97b152660cbfe52037025edc386fd78d6cf4ad47c2387578e1e1d10a05ac,BENIGN
172064,dfcbd3a2689d1b47c588670ba17a7799d56ee50dc04f2340b98872cf624ec2a5,BENIGN
96467,e4450c8f487af8297b46a0575c0eb266a04beedb2146fafae9b8ba781be29d89,BENIGN
45859,b707104eeda1a68c73a241583d4b2ab9bbc3c4ce836ebfb81c858a1840ead731,BENIGN
144969,a057fe311941e3aee15ff700266ea5e8cf47d8f7ac9a9a8a37a818aad40ca089,BENIGN
32150,027bf17bacccbcee401db490f75ebc6118f85e60239ef0a94b95f5a8e850a55d,BENIGN
150402,f35edb6c476b1c72ffed68f3f71e57f58bacf864ab20ecbbee4089ecca398de9,BENIGN
136239,1b64c818b541637f2abc818318b54e023f6b94740acb0efedebcaa4d38ae651a,DDoS
44297,2b6bbef784dd6a4a83126d8dea245bd66c489f5d860e9dffb2dc534cfaaab408,BENIGN
110326,123d6d457e0cd4adcbf3f4459e6dd1a9d29c49998a18e6dd1cc3a80358c118c6,BENIGN
175456,42b0c9c49f7a5608c00b7cde4f915764644a9de0ad2820b3d362571e1a886975,DDoS
129520,765111301e579ff61e6dac81f8f962b3fcad9c12fbd2153c51d3cb778efb1802,BENIGN
141818,9b53aa85e426f247616ae2be592305c9b6cd157d4bec7af58e3355fbfdf947aa,BENIGN
165038,01eac858a51e57365109217cdbdc51479d558bf5bf79049430aec6d6203be0be,BENIGN
54580,9d617c22e052a56ebdaf4bf80f5d9ce0e2d35ae14ab78d7503b063dabe42b919,BENIGN
14907,c2c5900ec4b2356e492eda4ca80bb0e2020a7af2493fc33da2dd3111b8e19582,DDoS
27493,6f4a8c2eeb5a5f8b60629362a33c334a168310c8d757b2f57afa41fc065ebd16,BENIGN
81996,c191aa2d6f3585245b5d70ff9e7f263c16ccf3575ccf5191f34f3c5f349fe631,BENIGN
7758,10912edadb1f147a30624f6dea2e469cd85043a795a6e34ae1dde9a2db864363,DDoS
169781,8d0414ae16b3f9f66b36a7126e486060da5a1240ec3375da0401501995a3a458,DDoS
91310,0db4949241bcd0559b8253df8c37f0bcd8acd9722220c4274359dfc77874be6b,DDoS
193989,c29f2acb74a06d848b86d060e2ceb2b36751bc26cd14748d418eb7ec875e45fd,BENIGN
197680,7068808a8dbfc290dc76be9d8bff8ac698f46c496a465234035819a0ad12b47f,DDoS
77250,c6910f027f2e258596756d49b9d57f746d8924a9c9d9898e899b3db0838b6677,DDoS
63799,0b52e4952e48fe8a060c6a00c04f56cbc4acdde66292b695070ce37183ddb673,DDoS
2134,d363bc232281f5f1e8b045ebfce8c183ea1bcd463a402385bdb43cd4fc6b7572,DDoS
139707,6036f5105b4174c247ad18f2d8e84fb8dc90c438b73a7b144708cfae31da10d4,BENIGN
208187,f9836702fc28c855eff33d2ba505c7bd1ee8685f05f0c300fd3e5d2068b9e632,BENIGN
97573,2b53093396728fa2379b91f99dc736df6b96bc101bd05c250098528e5b1c7564,BENIGN
153150,9cae0649eec9ed4f85e2a74d228c69f505e6512f1dd76c877513a4d6d1755a3f,BENIGN
134216,62ea6e00b997660b002a0482faa6d58d0e24f5c8d75d8591f44ce6a82026cffd,BENIGN
93790,9546a2e88013def8a9c91248d723232178fab7eecae2c190c968f9df8321064f,BENIGN
62965,9b91bcf5feafdd239895654ff38f6d5d11a72cbef069140852d18d95591736b8,BENIGN
73626,2bc5352ba313664ec4bd50cad017f96c1f173b4f33d46284e796c58999615fa4,BENIGN
86331,6a20275467d902901b7c37bf440597631465d1e263947992f4a41983d7dd1123,BENIGN
27372,1c8e41c113131be29b8d86551012e15ac807a433d0537d0d628747a84e809e46,DDoS
189417,8a2b46d1fb1213879a728c9a5a84925cd9880282c34fd635ea6869826305427b,DDoS
207914,ff509ca7bde2b423450c6c4346e4f967ceceee463e94949655554358c9418136,BENIGN
116760,a98aff2f1c3e04a8234c55961811e3492321a49bd51f315a8f8ac3c73f821927,DDoS
79434,4847a1ef5c1a6dd5fcd5603170029b1051ef4d9066f0731af55fddc0c3ca7b70,BENIGN
91421,ef9254efa7605aa0332ea20f7a038d3b6628c3a5befdd6566ae3eeaf51b4a71b,BENIGN
16328,4e332af0e48e2509996f39dea52993f90260b65a41aec896efcb3a9c5a8fe01d,DDoS
113782,94d5def4ef690cdc44a8fe102b62f1b783348c5ab4156808d1b460a513a4a99f,BENIGN
58263,356b702ab95e2113f1e8da4a7758f983d661e5b6a1e05b2322fb0e1d7c191107,DDoS
159926,26a4d53339ab2f256a5ca4a558cd0555ae4e792900bfbf395ea7a1d5ae511717,BENIGN
102118,7f7caae12c4025684159816ec726999747b0aeef7475e60faba82555a626e3c9,DDoS
120235,64ba6e1eb5bcb1fc78a835e8f8c94a6483da842becb4a0fe0827b7eafe38b0b2,DDoS
90340,e33aa59ba5d2349081dc90f94803e8e459403d30addd2f2d68399d966066c52e,DDoS
113115,6dd69fd1172a7b9ee1e2f2e4449191832837e2e1cd51dcb14d7b79c94b6ee5fd,DDoS
17830,fea2fff9428a50b5ace1d778170903b5ab362e89f6bca6f02ee9a0fc2bbea2df,BENIGN
29665,b43d0252572442af481ade7e78029d1071304c2bef662eff3e4a70e84748a8db,DDoS
22033,5eb27d23d4692c32742ea1a85baee0d08daa1d925173c68b31e058b85f1186b6,BENIGN
66733,d1980c1b62094799e526ac4a90bd8b2e1692ee4dd1a2f5b8a1b042fce70fd687,BENIGN
185630,5fdcd07d98b8ea4518a32c91ef49e2f84ab14cf390c84ae0d4a3099c478020b6,BENIGN
121728,ad802ae85ff4417b413a05194db5e97be823df23a3a44b7ee2959220392d5070,BENIGN
131390,37ca058766d03e4457ed431660d1fad3a06e6b8e288647cd5fc091cc796369ff,BENIGN
88917,165a9f3856f4259a1511f60bb41736823f4f02fc89061c4b21ec35b5dd5f5d2e,BENIGN
